شماره دانشجويي,نام درس,کد درس ,گروه درس ,
64,کارگاه کامپيوتر 1,1218281,1,
64,مباني کامپيوتر و برنامه,1236313,1,
65,کارگاه کامپيوتر 1,1218281,2,
65,مباني کامپيوتر و برنامه,1236313,1,
66,کارگاه کامپيوتر 1,1218281,1,
66,مباني کامپيوتر و برنامه,1236313,1,
67,کارگاه کامپيوتر 1,1218281,1,
67,مباني کامپيوتر و برنامه,1236313,1,
68,کارگاه کامپيوتر 1,1218281,1,
68,مباني کامپيوتر و برنامه,1236313,1,
69,کارگاه کامپيوتر 1,1218281,1,
69,مباني کامپيوتر و برنامه,1236313,1,
70,کارگاه کامپيوتر 1,1218281,1,
70,مباني کامپيوتر و برنامه,1236313,1,
71,کارگاه کامپيوتر 1,1218281,2,
71,مباني کامپيوتر و برنامه,1236313,2,
72,کارگاه کامپيوتر 1,1218281,4,
72,مباني کامپيوتر و برنامه,1236313,4,
73,کارگاه کامپيوتر 1,1218281,3,
73,مباني کامپيوتر و برنامه,1236313,3,
74,کارگاه کامپيوتر 1,1218281,3,
74,مباني کامپيوتر و برنامه,1236313,3,
75,کارگاه کامپيوتر 1,1218281,3,
75,مباني کامپيوتر و برنامه,1236313,3,
76,کارگاه کامپيوتر 1,1218281,3,
76,مباني کامپيوتر و برنامه,1236313,3,
77,کارگاه کامپيوتر 1,1218281,3,
77,مباني کامپيوتر و برنامه,1236313,3,
78,کارگاه کامپيوتر 1,1218281,3,
78,مباني کامپيوتر و برنامه,1236313,3,
79,کارگاه کامپيوتر 1,1218281,3,
79,مباني کامپيوتر و برنامه,1236313,3,
80,کارگاه کامپيوتر 1,1218281,3,
80,مباني کامپيوتر و برنامه,1236313,3,
81,کارگاه کامپيوتر 1,1218281,3,
81,مباني کامپيوتر و برنامه,1236313,3,
82,کارگاه کامپيوتر 1,1218281,3,
82,مباني کامپيوتر و برنامه,1236313,3,
83,کارگاه کامپيوتر 1,1218281,3,
